feature,importance
Conductivity,716.2587261011442
pH,233.23821852907736
qcm_graph_10_max_30s,52.539593775149065
qcm_graph_07_baseline_30s,3.40448200286491
orp_bin_06,0.8937427745423269
qcm_graph_13_baseline_30s,1.0574300325250588e-09
orp_bin_07,1.6780700127801886e-11
cmos_m2_slope_30s,1.6587418273143467e-14
orp_bin_00,8.319218581384714e-15
cmos_m4_baseline_30s,5.462293176786869e-15
cmos_m3_slope_30s,2.9432887244925857e-15
Brix_1,4.987769446620863e-16
qcm_graph_06_slope_30s,2.498006007484114e-16
orp_bin_02,1.213720032927845e-21
orp_bin_01,4.0392172426290155e-28
cmos_m2_baseline_30s,5.364253798152598e-29
cmos_m1_auc_30s,1.0846830158723937e-30
cmos_m3_delta_30s,9.532689833981293e-31
cmos_m1_slope_30s,2.9582300402708854e-31
cmos_m4_slope_30s,8.957694760889077e-32
qcm_graph_21_slope_30s,2.6331039603048342e-36
qcm_graph_04_delta_30s,1.1284739714284594e-36
qcm_graph_22_delta_30s,1.1284739714284594e-36
qcm_graph_11_baseline_30s,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
group_id,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_20_delta_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_21_delta_30s,0.0
cmos_m3_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m3_auc_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m5_slope_30s,0.0
orp_class_at_max,0.0
orp_max,0.0
orp_std,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
orp_bin_03,0.0
cmos_m4_auc_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m5_max_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_03_baseline_30s,0.0
Brix_n2,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_21_baseline_30s,0.0
cmos_m5_delta_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_07_slope_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m1_max_30s,0.0
is_time0,0.0
